team,name,number,position,url,mugshot
Magnolia Hotshots Pambansang Manok,CalvinAbueva,#13,F,https://www.pba.ph/players/calvin-abueva,https://dashboard.pba.ph/assets/players/mag-calvin2021.png
Blackwater Elite,Rey MarcAcuno,#17,C/F,https://www.pba.ph/players/rey-marc-acuno,https://dashboard.pba.ph/assets/players/bwe-Acuno2021.png
Alaska,BenedictAdamos,#18,C,https://www.pba.ph/players/benedict-adamos,https://dashboard.pba.ph/assets/players/ala-Adamos2021.png
Terrafirma Dyip,RooseveltAdams,#0,F/G,https://www.pba.ph/players/roosevelt-adams,https://dashboard.pba.ph/assets/players/tfd-Roosevelt2020.png
Barangay Ginebra San Miguel,JapethAguilar,#25,F,https://www.pba.ph/players/japeth-aguilar,https://dashboard.pba.ph/assets/players/gin-Aguilar_J2020.png
Barangay Ginebra San Miguel,RaymondAguilar,#23,F,https://www.pba.ph/players/raymond-aguilar,https://dashboard.pba.ph/assets/players/gin-Aguilar_R2020.png
Alaska,MaverickAhanmisi,#13,G,https://www.pba.ph/players/maverick-ahanmisi,https://dashboard.pba.ph/assets/players/ala_Ahanmisi2020.png
Magnolia Hotshots Pambansang Manok,JerrickAhanmisi,#5,G,https://www.pba.ph/players/jerrick-ahanmisi,https://dashboard.pba.ph/assets/players/mag-Ahanmisi2021b.png
NLEX Road Warriors,Kevin LouieAlas,#7,,https://www.pba.ph/players/kevin-louie-alas,https://dashboard.pba.ph/assets/players/nlx-Alas2020.png
TNT Tropang Giga,JayjayAlejandro,#20,G,https://www.pba.ph/players/jayjay-alejandro,https://dashboard.pba.ph/assets/players/tnt-Alejandro202.png
Meralco Bolts,RaymondAlmazan,#20,C,https://www.pba.ph/players/raymond-almazan,https://dashboard.pba.ph/assets/players/mer-Almazan2020.png
Terrafirma Dyip,GeloAlolino,#4,G,https://www.pba.ph/players/gelo-alolino,https://dashboard.pba.ph/assets/players/ter-Alolino2021.png
Blackwater Elite,BaserAmer,#14,G,https://www.pba.ph/players/baser-amer,https://dashboard.pba.ph/assets/players/bwe-Amer2021.png
North Port Batang Pier,SeanAnthony,#10,F,https://www.pba.ph/players/sean-anthony,https://dashboard.pba.ph/assets/players/nor-Anthony2020.png
Rain or Shine Elastopainters,AntonAsistio,#8,G,https://www.pba.ph/players/anton-asistio,https://dashboard.pba.ph/assets/players/ros-Asistio2021.png
Barangay Ginebra San Miguel,Mer JesperAyaay,#50,G,https://www.pba.ph/players/mer-jesper-ayaay,https://dashboard.pba.ph/assets/players/gin-Ayaay2021.png
NLEX Road Warriors,MykeAyonayon,#18,G,https://www.pba.ph/players/myke-ayonayon,https://dashboard.pba.ph/assets/players/nlx-Ayonayon2020.png
Meralco Bolts,NonoyBaclao,#50,C,https://www.pba.ph/players/nonoy-baclao,https://dashboard.pba.ph/assets/players/ala-Baclao2020.png
